"       MASTER SPREADSHEET                        Fourteen Select Indexes - Daily Closing Values    January 1986 - July 26, 2019",,,,,,,,,,,,,,
"Sources: Bloomberg and Cboe Exchange, Inc.",Data providers such as Bloomberg (phone: 212-318-2000) can provide historical data for a fee.      Also visit www.Cboe.com/TradTool/,Past performance is not a guarantee of future returns.,"Supporting documentation for statistics or other technical data is available by calling 1-888-OPTIONS, sending an e-mail to help@Cboe.com, or by visiting www.Cboe.com. ","Options involve risk and are not suitable for all investors. Prior to buying or selling an option, a person must receive a copy of Characteristics and Risks of Standardized Options",,Please visit www.Cboe.com and us.spindices.com  for more information and disclosures.  ,"This spreadsheet is updated about once a year, and is based on data from secondary sources believed (but not guaranteed) to be accurate.",Indexes are not investable,,,,,,
2-Nov-2005,707.31,1830.431,1214.76,795.88,472.99,795.59,13.48,12.82,967.5,595.82,481.77,863.53,738.65,403.09
3-Nov-2005,707.76,1838.855,1219.94,796.62,474.79,797.25,13,12.37,969.51,591.91,483.07,864.85,737.3,404.87
4-Nov-2005,708.3,1839.158,1220.14,796.83,474.86,797.85,13.17,12.51,970.24,592.69,483.15,865.31,737.22,404.92
7-Nov-2005,708.67,1843.271,1222.81,797.38,475.77,799.06,13.1,12.02,971.72,590.91,484.14,866.21,738.25,405.78
8-Nov-2005,708.95,1837.796,1218.59,797.46,474.25,798.74,13.08,12.45,971.33,594.28,483.44,866.09,741.54,404.57
9-Nov-2005,709.38,1841.001,1220.65,797.74,474.97,799.69,12.8,12.14,972.48,593.06,484.46,866.78,742.2,405.25
10-Nov-2005,709.46,1856.9,1230.96,798.1,478.68,800.94,11.9,11.36,974.01,583.91,485.78,867.68,734.5,408.7
11-Nov-2005,709.86,1862.558,1234.72,798.25,480.07,801.65,11.63,11.15,974.87,581.51,486.22,868.16,731.66,409.97
14-Nov-2005,709.57,1861.248,1233.76,798.58,479.66,801.4,12.18,11.6,974.56,581.51,486.15,868.14,734.03,409.65
15-Nov-2005,709.86,1854.278,1229.01,798.71,477.95,801.62,12.23,12.08,974.83,585.01,486.21,868.34,742.1,408.08
16-Nov-2005,709.95,1857.971,1231.21,798.8,478.78,801.82,12.26,11.82,975.07,582.58,486.55,868.52,742.62,408.91
17-Nov-2005,710.62,1875.492,1242.8,798.96,483.11,802.76,11.25,11,976.21,573.8,487.11,869.14,725.8,412.74
18-Nov-2005,705.33,1883.992,1248.27,800.35,485.15,797.26,11.12,10.55,970.14,573.32,483.52,862.93,690.55,414.45
21-Nov-2005,707.04,1893.932,1254.85,802.31,487.67,800.65,10.82,9.97,973.76,572.2,485.38,865.74,690.78,416.47
22-Nov-2005,708.58,1903.656,1261.23,803.44,490.01,803.25,10.6,10.03,976.8,570.28,486.83,867.78,688.41,418.51
23-Nov-2005,708.64,1910.394,1265.61,804.08,491.76,804.25,10.96,10.56,977.79,567.57,487.31,868.69,686.46,420.02
25-Nov-2005,709.56,1914.405,1268.25,804.61,492.82,805.82,10.88,10.7,979.51,566.78,488.25,869.8,685.49,420.85
28-Nov-2005,707.63,1898.37,1257.46,803.61,488.73,801.86,11.84,11.42,975.19,571.75,485.96,867.04,691.02,417.36
29-Nov-2005,708.34,1898.741,1257.48,804.02,488.73,802.4,11.89,11.33,975.81,572.91,486.22,867.57,691.09,417.45
30-Nov-2005,707.28,1887.284,1249.48,802.9,485.91,799.23,12.06,11.78,972.69,576.43,484.46,865.27,692.98,414.93
1-Dec-2005,709.89,1910.232,1264.67,805.66,491.71,806.13,11.24,11.12,980.08,570.57,488.36,870.52,690.82,419.9
2-Dec-2005,710.58,1910.856,1265.08,805.88,491.86,806.78,11.01,10.67,980.83,571.41,488.75,871.01,692.15,419.99
5-Dec-2005,710.33,1906.422,1262.09,805.87,490.7,805.73,11.6,10.94,980.03,573.43,488.07,870.36,694.12,419.03
6-Dec-2005,711.15,1908.888,1263.7,806.33,491.34,806.81,11.52,11.22,981.07,573.79,488.73,871.21,694.4,419.54
7-Dec-2005,710.36,1899.693,1257.37,805.7,488.94,804.39,12.18,11.84,978.54,577.15,487.26,869.58,695.59,417.55
8-Dec-2005,710.35,1897.571,1255.84,805.99,488.42,804.03,12.21,12.02,978.45,578.63,487.01,869.55,696.5,417.05
9-Dec-2005,711.41,1902.918,1259.37,806.99,489.8,806.36,11.69,11.49,981.07,578.26,488.35,871.38,697.48,418.17
12-Dec-2005,712.04,1904.591,1260.43,807.65,490.21,807.2,11.47,11.03,982.13,579,488.86,872.11,698.19,418.55
13-Dec-2005,712.84,1915.297,1267.43,808.11,492.95,810.56,11.11,10.56,985.48,574.28,490.91,874.21,697.92,420.88
14-Dec-2005,713.06,1923.435,1272.74,808.36,494.95,812.41,10.48,10.95,987.11,569.98,492.06,875.37,696.67,422.66
15-Dec-2005,713.37,1920.848,1270.94,808.53,494.35,813.34,10.73,10.34,988.39,572.19,492.6,875.98,698.56,422.08
16-Dec-2005,710.39,1915.401,1267.32,806.68,493.15,810.96,10.68,10.24,984.09,569.39,491.17,873.54,699.03,420.97
19-Dec-2005,708.38,1904.214,1259.92,804.4,491.04,807.13,11.38,10.66,979.43,569.86,489.03,870.16,698.03,418.67
20-Dec-2005,708.63,1903.814,1259.62,804.75,490.78,807.21,11.19,10.62,979.54,570.72,488.96,870.41,697.96,418.53
21-Dec-2005,709.99,1908.646,1262.79,806.07,491.62,809.2,10.81,10.38,981.94,571.17,490,872.2,699.52,419.4
22-Dec-2005,712.44,1917.157,1268.12,808.15,493.16,812.7,10.29,9.95,986.2,572.16,491.68,875.23,701.15,421.06
23-Dec-2005,712.82,1918.254,1268.66,808.95,493.25,813.14,10.27,9.87,986.72,573.12,491.89,875.91,702.63,421.26
27-Dec-2005,708.59,1899.926,1256.54,805.05,489.63,806.08,11.57,11.3,978.16,572.06,488.2,869.87,698.08,417.43
28-Dec-2005,709.8,1902.737,1258.17,805.66,490.2,807.35,11.35,11.12,979.7,572.67,488.87,870.9,699,417.92
29-Dec-2005,708.58,1897.197,1254.42,804.71,488.85,805.2,11.61,11.31,977.1,572.7,487.65,869.25,697.72,416.75
30-Dec-2005,706.04,1887.941,1248.29,801.42,487.16,801.51,12.07,11.77,972.61,570.04,485.92,865.49,694.45,414.83
3-Jan-2006,714.52,1918.959,1268.8,810.74,492.91,813.99,11.14,10.84,987.76,576.06,492.11,877.12,705.01,421.17
4-Jan-2006,715.92,1926.387,1273.46,812.02,494.65,816.64,11.37,11.37,990.97,575.57,493.78,879.25,706.36,422.76
5-Jan-2006,716.33,1926.439,1273.48,812.14,494.66,816.94,11.31,11.63,991.34,576.28,493.79,879.49,706.07,422.79
6-Jan-2006,719.66,1945.015,1285.45,815.33,498.67,823.61,11,10.99,999.44,574.74,497.84,884.82,708.62,426.75
9-Jan-2006,720.28,1952.129,1290.15,816.27,500.16,825.96,11.13,10.74,1002.28,572.71,499.37,886.51,708.9,428.3
10-Jan-2006,720.88,1951.53,1289.69,816.63,499.95,826.42,10.86,10.73,1002.84,574.33,499.45,886.97,710.17,428.17
11-Jan-2006,721.61,1958.557,1294.18,817.22,501.57,828.69,10.94,10.66,1005.6,572.24,501.05,888.53,710.45,429.71
12-Jan-2006,720.84,1946.281,1286.06,816.89,498.76,825.39,11.2,11.2,1001.6,577.48,498.46,886.58,710.45,427.05
13-Jan-2006,721.7,1948.637,1287.61,817.5,499.29,826.59,11.23,11.07,1003.05,578.02,499.22,887.57,711.02,427.51
17-Jan-2006,721.31,1941.568,1282.93,817.6,497.78,824.24,11.91,12.06,1000.19,581.26,497.54,886.22,710.86,425.96
18-Jan-2006,721.19,1934.209,1277.93,817.49,496.06,821.26,12.25,12.32,996.58,584.94,495.64,884.57,711.22,424.34
19-Jan-2006,723.07,1944.984,1285.04,818.5,498.39,825.9,11.98,11.72,1002.21,582.87,498.38,887.63,711.43,426.65
20-Jan-2006,711.84,1909.346,1261.49,813.23,490.89,811.69,14.56,14.09,984.92,582.69,490.17,873.56,707.22,419.42
23-Jan-2006,713.6,1912.914,1263.82,814.87,491.48,813.53,13.93,13.06,987.26,584.56,491.08,875.35,710.13,419.87
24-Jan-2006,715.17,1917.538,1266.86,816.56,492.06,815.58,13.31,12.61,989.66,586.08,491.99,877.38,712.88,420.67
25-Jan-2006,714.86,1914.277,1264.68,816.38,491.32,814.51,12.87,12.31,988.52,586.94,491.33,876.73,711.66,419.85
26-Jan-2006,718.38,1928.174,1273.83,819.83,494.17,819.87,12.42,11.7,994.85,588.26,494.18,881.48,715.42,422.66
27-Jan-2006,721.32,1943.344,1283.72,822.69,497.65,825.3,11.97,11.4,1000.93,587.35,497.19,885.96,716.95,425.79
30-Jan-2006,721.82,1945.662,1285.2,823.45,498.11,826.1,12.39,11.54,1001.71,587.45,497.63,886.72,718.12,426.25
31-Jan-2006,720.52,1937.929,1280.08,822.36,496.37,823.64,12.95,12.19,999.27,588.54,496.21,884.83,717.11,424.59
1-Feb-2006,721.97,1941.751,1282.46,823.2,497.15,825.19,12.36,11.99,1001.13,589.52,497.01,886.14,718.27,425.35
2-Feb-2006,718.48,1924.673,1270.84,820.17,493.35,819.03,13.23,13.07,993.98,590.14,493.55,881.21,716.39,421.75
3-Feb-2006,716.71,1914.502,1264.03,818.31,490.88,815.19,12.96,12.89,989.68,590.58,491.3,878.17,715.68,419.47
6-Feb-2006,717.68,1916.036,1265.02,819.68,491.13,816,13.04,12.33,990.72,592.76,491.45,879.27,717.86,419.72
7-Feb-2006,713.07,1900.581,1254.78,815.15,487.8,809.58,13.59,13.06,982.98,588.24,488.2,873.4,712.8,416.39
8-Feb-2006,718.91,1917.841,1265.65,820.91,491.39,816.94,12.83,12.41,991.91,595,491.83,880.47,720.33,420.02
9-Feb-2006,718.28,1915.099,1263.78,820.8,490.68,815.77,13.12,12.36,990.52,595.34,491.1,879.8,720.19,419.39
10-Feb-2006,720.12,1920,1266.99,822.55,491.79,817.84,12.87,12.21,993.09,597.65,492.21,881.87,722.29,420.41
13-Feb-2006,718.49,1914.015,1262.86,821.49,490.34,815.37,13.35,13.1,990.07,596.91,490.64,879.9,722.45,419.1
14-Feb-2006,724.41,1933.459,1275.53,826.95,494.7,823.64,12.25,12.11,1000.07,602.4,495.43,887.29,724.48,423.35
15-Feb-2006,726.85,1940.685,1280,828.64,496.35,826.73,12.31,11.82,1003.81,604.27,497.26,889.88,724.7,424.91
16-Feb-2006,728.81,1955.06,1289.38,829.95,499.67,832.55,11.48,10.97,1011.13,600.4,500.84,893.74,725.21,428.02
17-Feb-2006,727.87,1951.833,1287.24,830.15,499.03,831.08,12.01,10.97,1009.46,601.44,499.81,891.79,725.8,427.42
21-Feb-2006,727.07,1945.447,1283.04,829.95,497.38,829.04,12.41,11.39,1007.14,603.22,498.58,890.43,727.02,425.94
22-Feb-2006,730.19,1960.259,1292.67,832.74,500.94,834.64,11.88,10.79,1013.52,602.58,501.6,894.96,728.8,428.97
23-Feb-2006,728.91,1953.368,1287.79,832.12,499.1,832.29,11.87,11.07,1010.93,603.71,500.26,893.38,728.81,427.46
24-Feb-2006,729.98,1956.135,1289.43,833.04,499.81,833.47,11.46,10.62,1012.37,604.84,500.81,894.53,730.07,427.95
27-Feb-2006,731.67,1963.583,1294.12,834.73,501.62,836.26,11.59,10.48,1015.72,605.01,502.35,896.85,730.99,429.52
28-Feb-2006,727.87,1943.188,1280.66,831.1,496.52,828.79,12.34,11.84,1007.3,606.47,498.22,890.91,729.46,425.21
1-Mar-2006,731.66,1959.765,1291.24,834.54,500.59,835.44,11.54,10.77,1015,606.6,501.91,896.35,731.75,428.58
2-Mar-2006,731.13,1956.602,1289.14,834.45,499.77,834.31,11.72,11.44,1013.67,607.51,501.19,895.72,731.84,427.91
3-Mar-2006,730.97,1953.743,1287.23,834,499.05,833.27,11.96,11.56,1012.35,608.28,500.57,894.94,732.15,427.28
6-Mar-2006,728.01,1940.204,1278.26,831.63,495.62,828.03,12.74,12.17,1006.44,608.36,497.62,890.76,730.06,424.4
7-Mar-2006,727.46,1936.684,1275.88,830.81,494.69,826.73,12.66,12.4,1004.93,608.19,496.81,889.65,730.66,423.57
8-Mar-2006,729.32,1941.172,1278.47,832.82,495.73,828.63,12.32,11.94,1007.39,610.9,497.7,891.76,730.82,424.43
9-Mar-2006,726.59,1931.733,1272.23,830.4,493.29,824.71,12.68,12.27,1002.73,608.74,495.58,888.38,730.61,422.39
10-Mar-2006,731.08,1945.925,1281.58,834.86,496.88,830.79,11.85,11.66,1010.04,613.52,498.77,894.06,734,425.41
13-Mar-2006,732.93,1950.386,1284.13,836.77,497.98,832.71,11.37,11.6,1012.39,616.26,499.79,896.02,736.02,426.35
14-Mar-2006,736.68,1970.655,1297.48,839.99,503.14,841.16,10.74,11.19,1022.25,614.46,504.83,902.31,737.14,430.77
15-Mar-2006,737.55,1979.21,1303.02,840.74,505.35,844.61,11.35,11.09,1026.22,611.47,506.9,904.59,735.46,432.65
16-Mar-2006,738.03,1982.764,1305.33,841.06,506.22,846.44,11.98,11.42,1028.6,610.32,507.95,905.77,736.58,433.39
17-Mar-2006,736.72,1985.688,1307.25,840.95,506.69,847.71,12.12,11.19,1030.78,606.64,508.34,904.61,736.64,434.06
20-Mar-2006,736.2,1982.401,1305.08,841.79,505.93,846.88,11.79,11.04,1029.77,608.4,507.69,904.53,737.47,433.25
21-Mar-2006,734.64,1970.499,1297.23,839.67,503.16,843.34,11.62,10.8,1025.47,610.04,505.5,901.52,737.25,430.72
22-Mar-2006,737.26,1982.399,1305.04,842.33,505.69,847.73,11.21,10.31,1030.8,610.14,508.06,905.32,739.33,433.11
23-Mar-2006,736.68,1977.291,1301.67,841.62,504.48,846.16,11.17,10.48,1028.89,611.19,507.01,904.12,738.42,431.97
24-Mar-2006,737.27,1979.235,1302.95,842.15,504.85,846.97,11.19,10.43,1029.88,611.46,507.33,904.86,739.82,432.35
27-Mar-2006,736.93,1977.187,1301.61,842.46,504.34,846.25,11.46,10.52,1029,612.3,506.94,904.55,740.03,431.87
28-Mar-2006,734.29,1964.473,1293.23,839.76,501.4,841.79,11.58,10.92,1023.58,612.23,504.26,900.74,737.69,429.25
29-Mar-2006,738.28,1979.507,1302.89,843.75,504.56,847.68,10.95,10.19,1030.74,614.4,507.48,906.06,741.51,432.24
30-Mar-2006,737.33,1975.602,1300.25,842.65,503.84,846.25,11.57,10.88,1029.01,613.82,506.69,904.73,740.79,431.47
31-Mar-2006,735.49,1967.375,1294.83,841.05,501.87,843.01,11.39,11.12,1025.07,613.46,504.95,902.17,738.89,429.69
3-Apr-2006,737.23,1971.925,1297.81,842.84,502.87,845.16,11.57,10.93,1027.68,615.64,506.01,904.18,741.03,430.56
4-Apr-2006,740.37,1984.467,1305.93,845.6,505.61,850.08,11.14,10.7,1033.66,616.66,508.63,908.31,742.98,433.21
5-Apr-2006,742.06,1993.214,1311.56,847.24,507.64,853.32,11.13,10.6,1037.6,616.08,510.69,910.94,744.26,435.04
6-Apr-2006,741.57,1989.867,1309.04,846.56,506.81,852.24,11.45,11.04,1036.28,616.21,509.95,910.03,744.1,434.29
7-Apr-2006,737.18,1969.299,1295.5,842.45,502.26,844.31,12.26,12.01,1026.65,615.99,505.31,903.61,740.52,429.91
10-Apr-2006,738.21,1971.025,1296.6,843.81,502.49,845.24,12.19,11.67,1027.78,618.17,505.58,904.75,742.78,430.22
11-Apr-2006,734.06,1956.115,1286.57,839.2,499.4,838.98,13,12.6,1020.16,613.98,502.37,898.96,738.7,427.06
12-Apr-2006,735.18,1958.491,1288.12,840.94,499.84,840.06,12.76,12.07,1021.48,616.57,502.6,900.5,741.65,427.47
13-Apr-2006,736.04,1960.006,1289.12,841.7,499.98,840.77,12.38,11.82,1022.34,618.03,502.73,901.3,743.42,427.78
17-Apr-2006,734.23,1954.248,1285.33,840.62,498.73,838.36,12.58,12.44,1019.41,616.51,501.36,899.29,743.47,426.46
18-Apr-2006,744.79,1988.181,1307.65,850.8,506.07,852.81,11.4,11.04,1036.98,627.7,509.44,912.48,748.66,433.81
19-Apr-2006,746.28,1991.842,1309.93,852.23,506.94,854.47,11.32,10.66,1039,629.85,510.38,914.16,748.94,434.58
20-Apr-2006,747.64,1994.227,1311.46,853.44,507.41,855.5,11.64,10.71,1040.25,632.29,510.96,915.38,749.03,435.08
21-Apr-2006,744.39,1993.989,1311.28,852.65,507.34,855.98,11.59,10.77,1040.96,626.39,511.03,912.78,749.7,435.09
24-Apr-2006,743.76,1989.198,1308.11,852.47,506.12,852.84,11.75,10.43,1039.29,627.45,510.11,911.81,750.06,433.95
25-Apr-2006,741.94,1979.509,1301.74,851,503.81,849.27,11.75,10.52,1035.16,628.63,508.24,909.14,749.69,431.95
26-Apr-2006,743.84,1985.285,1305.41,852.55,505.16,851.7,11.76,10.54,1038.02,629.96,509.57,911.3,751.08,433.08
27-Apr-2006,745.23,1992.392,1309.72,854.08,506.88,854.41,11.84,10.77,1041.41,629.87,510.85,913.58,752.39,434.58
28-Apr-2006,745.76,1993.793,1310.61,854.65,507.19,855.14,11.59,10.79,1042.1,630.45,511.18,914.3,753.85,434.83
1-May-2006,744.17,1985.554,1305.19,853.06,505.21,851.8,12.54,11.64,1038.3,630.48,509.54,911.58,751.77,433.05
2-May-2006,747.22,1997.751,1313.21,855.77,508.11,856.88,11.99,11.13,1044.25,631.44,512.15,915.77,754.53,435.59
3-May-2006,745.83,1989.969,1307.85,854.75,506.2,853.93,11.99,11.45,1040.93,632.39,510.47,913.67,754.85,433.88
4-May-2006,747.52,1996.741,1312.25,856.44,507.74,856.75,11.86,11.19,1044.2,632.95,511.98,916.11,755.4,435.21
5-May-2006,750.47,2017.336,1325.76,859.72,512.71,864.32,11.62,11.05,1052.87,629.28,516.13,921.93,757.01,439.61
8-May-2006,750.99,2015.839,1324.66,860.04,512.3,864.15,12,11.02,1052.64,631.44,515.94,921.92,758.28,439.32
9-May-2006,751.65,2016.595,1325.14,860.37,512.42,864.54,11.99,11.33,1053.3,632.4,516.16,922.34,758.68,439.45
10-May-2006,751.67,2013.987,1322.85,860.48,511.73,863.88,11.78,11.4,1052.51,634.15,515.75,922.07,758.85,438.85
11-May-2006,747.33,1988.56,1305.92,856.76,505.63,853.66,12.49,12.2,1040.75,637.73,509.92,914.64,757.49,433.38
12-May-2006,740.81,1966.267,1291.24,849.61,500.63,844.12,14.19,13.52,1029.3,630.59,505.32,905.75,750.06,428.7
15-May-2006,743.05,1971.451,1294.5,852.54,501.61,846.42,13.57,12.87,1032.09,634.83,505.93,908.45,753.92,429.68
16-May-2006,741.99,1967.79,1292.08,851.52,500.57,844.87,13.35,12.34,1030.22,633.53,504.92,907.11,754.24,428.81
17-May-2006,729.86,1935.184,1270.32,837.32,493.88,830.87,16.26,14.98,1013.16,612.79,500.24,892.08,726.06,421.9
18-May-2006,725.07,1922.324,1261.81,832.08,491.16,825.38,16.99,15.82,1006.45,604.57,499.54,886.38,708.14,419
19-May-2006,726.63,1930.273,1267.03,834.75,493.02,828.2,17.18,15.58,1009.94,606.19,499.84,887.94,703.23,420.22
22-May-2006,725.66,1922.722,1262.07,834.44,491.34,826.15,17.72,16.07,1007.61,608.69,498.49,886.59,703.65,418.77
23-May-2006,724.57,1914.381,1256.58,833.34,489.57,824.03,18.26,15.92,1004.66,610.27,497.32,884.88,703.64,416.88
24-May-2006,725.82,1917.478,1258.57,833.99,490.17,825.54,17.36,16.56,1006.3,611.38,497.87,886.06,703.93,417.62
25-May-2006,730,1939.521,1272.88,839.15,494.17,833.09,15.5,14.15,1016.09,609.35,502.4,892.88,706.36,421.55
26-May-2006,732.66,1950.871,1280.16,841.39,496.47,836.88,14.26,13.08,1020.95,608.48,504.7,896.12,707.31,423.63
30-May-2006,726.26,1920.089,1259.84,835.5,490.44,826.4,18.66,17.85,1007.55,611.38,498.6,887.22,704.98,417.9
31-May-2006,730.85,1936.409,1270.09,839.48,493.31,833.09,16.44,15.59,1015.9,611.98,502.07,892.95,707.71,420.7
1-Jun-2006,734.97,1960.284,1285.71,843.57,498.4,840.67,14.52,13.34,1025.82,608.11,506.84,899.22,709.12,425.41
2-Jun-2006,735.88,1964.107,1288.22,844.42,499.09,841.9,14.32,13.16,1027.39,607.97,507.69,900.36,709.52,426.13
5-Jun-2006,730.55,1929.234,1265.29,840.14,491.27,831.44,16.65,16.35,1013.45,615.97,500.77,892.39,707.96,418.93
6-Jun-2006,730.85,1927.132,1263.85,840.22,490.65,831.25,17.34,16.6,1012.92,617.67,500.52,892.32,708.2,418.44
7-Jun-2006,729.33,1915.774,1256.15,838.68,487.85,827.29,17.8,17.05,1007.96,619.86,497.98,889.42,707.94,415.9
8-Jun-2006,730.5,1918.592,1257.93,839.63,488.31,828.53,18.35,17.44,1009.41,620.85,498.42,890.61,708.49,416.35
9-Jun-2006,729.02,1910.005,1252.3,838.06,486.13,825.36,18.12,17.48,1005.25,621.55,496.48,888.1,708.07,414.5
12-Jun-2006,721.74,1885.809,1236.4,830.71,481.25,815.08,20.96,19.69,992.63,614.62,491.35,878.59,704.99,409.5
13-Jun-2006,715.22,1866.918,1223.69,823.62,478.06,807.01,23.81,22.25,982.76,606.75,487.93,870.53,699.6,405.86
14-Jun-2006,719.21,1876.669,1230.04,829.05,477.68,811.26,21.46,20.57,987.92,612.04,488.59,875.71,708.98,406.97
15-Jun-2006,734.12,1916.564,1256.16,845.2,486.51,828.47,15.9,14.79,1008.94,634.73,496.98,893.52,712.67,415.58
16-Jun-2006,731.85,1909.522,1251.54,844.21,484.07,825.55,17.25,14.92,1006.01,633.53,494.59,890.45,712.84,413.52
19-Jun-2006,728.96,1892.119,1240.14,841.26,480.7,820.76,17.83,15.76,999.05,636.43,491.35,886.22,712.02,410.27
20-Jun-2006,729.83,1892.131,1240.12,842.55,480.47,821.53,16.69,15.52,999.62,638.62,491.56,887.33,712.51,409.97
21-Jun-2006,733.93,1910.617,1252.2,846.53,483.63,827.9,15.52,14.23,1008.37,636.67,495.2,892.88,714.36,413.13
22-Jun-2006,732.43,1900.98,1245.6,844.95,481.66,824.96,15.88,15.1,1004.24,638.42,493.42,890.49,713.81,411.17
23-Jun-2006,731.78,1899.319,1244.5,845.23,481.16,824.4,15.89,14.94,1003.47,638.61,493.14,890.35,714.46,410.81
26-Jun-2006,734.86,1908.563,1250.56,847.68,482.81,828.04,15.62,14.33,1008.05,639.61,495.18,893.51,715.81,412.33
27-Jun-2006,730.74,1891.242,1239.2,844.16,479.51,822.08,16.4,15.75,1000.36,640.07,491.7,888.46,713.38,409.04
28-Jun-2006,733.57,1901.983,1246,846.49,481.51,826.03,15.79,15.62,1005.25,640.03,493.82,891.84,715.34,411.01
29-Jun-2006,741.32,1943.085,1272.87,853.92,489.66,838.34,13.03,12.28,1022.34,634.45,501.93,902.42,717.95,418.96
30-Jun-2006,740.51,1939.034,1270.2,853.83,488.85,837.63,13.08,12.44,1021.24,635.49,501.06,902.01,718.48,418.05
3-Jul-2006,742.71,1954.49,1280.19,855.69,492.23,841.51,13.05,11.59,1027.41,632.08,504,905.17,718.95,421.24
5-Jul-2006,741.71,1940.552,1270.91,854.88,489.2,838.79,14.15,13.25,1022.82,637.34,501.59,903.06,719.05,418.33
6-Jul-2006,742.66,1945.897,1274.08,855.78,490.32,840.58,13.65,12.71,1025.04,636.24,502.65,904.53,719.85,419.33
7-Jul-2006,741.67,1932.754,1265.48,855.03,487.51,837.81,13.97,13.48,1020.67,641.91,500.42,902.66,719.74,416.55
10-Jul-2006,742.64,1935.615,1267.34,856.13,487.9,839.19,14.02,13.24,1022.59,642.72,501.2,903.89,720.45,417.1
11-Jul-2006,743.75,1943.659,1272.52,857.49,489.45,841.93,13.14,12.76,1026.32,640.93,502.97,906.1,720.86,418.8
12-Jul-2006,741.41,1922.619,1258.6,855.04,485.13,836.12,14.49,14.11,1017.4,647.65,498.54,901.7,720.19,414.36
13-Jul-2006,736.04,1897.73,1242.29,849.15,480.48,826.61,17.79,17.92,1004.94,647.73,493.35,893.49,717.04,409.48
14-Jul-2006,735.51,1888.433,1236.2,849.26,478.79,823.72,18.05,18,1000.62,652.78,491.01,892,718.17,407.39
17-Jul-2006,735.59,1885.823,1234.49,849.29,478.29,822.7,18.64,17.57,999.34,654.19,490.24,891.37,718.56,406.74
18-Jul-2006,736.87,1889.483,1236.86,850.64,478.63,824.29,17.74,17.24,1001.25,655.61,490.72,892.96,719.49,407.45
19-Jul-2006,745.49,1924.737,1259.81,859.03,485.41,839.39,15.55,14.17,1019.86,657.91,499.13,905.55,722.14,414.65
20-Jul-2006,744.91,1908.424,1249.13,859.18,481.97,832.7,16.21,15.54,1011.37,667.87,494.91,902.03,721.83,411.1
21-Jul-2006,740.54,1894.941,1240.29,858.09,479.39,827.55,17.4,16.55,1005.1,670.42,491.48,896.61,720.94,408.51
24-Jul-2006,748.17,1926.499,1260.91,865.72,485.37,838.39,14.98,14.07,1018.26,669.8,496.96,906.37,723.04,414.1
25-Jul-2006,749.64,1938.675,1268.88,867.56,488,841.62,14.85,13.32,1022.19,666.58,498.72,909.11,722.67,416.5
26-Jul-2006,750.02,1937.962,1268.4,867.92,487.8,841.74,14.62,13.27,1022.34,667.79,498.88,909.39,723.81,416.29
27-Jul-2006,749.35,1930.316,1263.2,866.91,486.2,839.59,14.94,14.44,1019.73,670.27,497.63,907.72,723.95,414.74
28-Jul-2006,752.62,1953.857,1278.55,869.81,491.43,845.77,14.33,13.44,1027.23,664.45,501.06,912.61,722.23,419.48
31-Jul-2006,752.51,1950.995,1276.66,870.08,490.77,845.21,14.95,13.77,1026.56,665.84,500.61,912.36,723.71,418.83
1-Aug-2006,751.82,1942.219,1270.92,869.98,488.73,843.84,15.05,14.12,1024.89,669.61,499.79,911.59,725.58,416.99
2-Aug-2006,753.83,1954.18,1278.55,871.44,491.33,847.11,14.34,13.68,1028.87,666.97,501.64,914.15,724.84,419.38
3-Aug-2006,754.14,1957.414,1280.27,871.69,492.05,847.72,14.46,14.01,1029.61,666.09,501.84,914.64,724.36,420.05
4-Aug-2006,754.17,1956.046,1279.36,872.41,491.72,848.06,14.34,14,1030.02,667.07,502.15,915.22,726.17,419.72
7-Aug-2006,754.12,1950.631,1275.77,872.54,490.43,847.3,15.23,14.4,1029.1,670.38,501.48,914.79,726.98,418.56
8-Aug-2006,754.06,1944.218,1271.48,872.69,488.9,846.7,15.23,14.57,1028.37,674.19,501.07,914.56,728.85,417.19
9-Aug-2006,754.31,1936.298,1265.95,872.59,486.93,845.3,15.2,14.75,1026.95,679.59,500.22,913.91,729.62,415.45
10-Aug-2006,755.64,1945.61,1271.81,873.75,489,848.92,14.46,14.01,1031.06,676.87,502.16,916.37,729.71,417.43
11-Aug-2006,755.76,1938.129,1266.74,873.88,487.16,847.61,14.3,14.25,1029.48,682.22,501.29,915.76,730.28,415.79
14-Aug-2006,756.27,1940.497,1268.21,874.86,487.54,849.05,14.26,13.74,1031.23,682.6,502.08,916.96,730.72,416.29
15-Aug-2006,758.03,1967.256,1285.58,875.66,493.86,854.92,13.42,12.62,1038.36,668.14,505.96,920.6,730.66,422.03
16-Aug-2006,758.55,1982.808,1295.43,875.76,497.58,856.21,12.41,12.08,1040.01,658.18,507.18,921.41,730.44,425.35
17-Aug-2006,758.13,1986.042,1297.48,876.14,498.4,856.02,12.24,11.57,1039.69,655.48,507.03,921.49,730.85,426.04
18-Aug-2006,758.14,1993.43,1302.3,878.12,500.12,857.46,11.64,11,1041.62,652.34,507.08,921.52,732.42,427.39
21-Aug-2006,756.68,1986.112,1297.52,877.77,498.28,855.03,12.22,11.05,1038.82,653.66,505.64,919.92,732.91,425.77
22-Aug-2006,757.51,1988.1,1298.82,878.55,498.76,856.05,12.19,11.04,1040.22,654.93,506.23,920.91,733.81,426.18
